trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
6009,False,"{'a': 0.6, 'e': 0.04956352989898456}",30,13,28.984424563247394,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
6010,False,"{'a': 0.6, 'e': 0.04953875432844388}",20,6,24.637802368211634,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6011,False,"{'a': 0.6, 'e': 0.04951399114259201}",30,19,21.466395977921017,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6012,False,"{'a': 0.6, 'e': 0.04948924033523819}",25,11,23.836387170803235,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6013,False,"{'a': 0.6, 'e': 0.049464501900194725}",20,9,24.797152818085866,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6014,False,"{'a': 0.6, 'e': 0.049439775831276976}",25,20,7.814199295465581,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
6015,False,"{'a': 0.6, 'e': 0.04941506212230344}",30,17,23.389770018320053,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
6016,False,"{'a': 0.6, 'e': 0.049390360767095715}",25,15,16.754014965061824,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6017,False,"{'a': 0.6, 'e': 0.04936567175947842}",30,16,9.254164348429082,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
6018,False,"{'a': 0.6, 'e': 0.04934099509327934}",20,7,27.074189395371775,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
6019,False,"{'a': 0.6, 'e': 0.049316330762329275}",20,9,20.867444466312193,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6020,False,"{'a': 0.6, 'e': 0.04929167876046215}",20,12,15.141081041290324,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6021,False,"{'a': 0.6, 'e': 0.049267039081514995}",25,13,25.6886093501886,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6022,False,"{'a': 0.6, 'e': 0.04924241171932785}",30,11,33.945078765008965,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
6023,False,"{'a': 0.6, 'e': 0.0492177966677439}",20,6,24.725653162568467,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6024,False,"{'a': 0.6, 'e': 0.04919319392060936}",30,19,20.390716669214314,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6025,False,"{'a': 0.6, 'e': 0.04916860347177356}",25,13,25.228353691898413,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6026,False,"{'a': 0.6, 'e': 0.04914402531508891}",25,14,-21.70250065225269,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
6027,False,"{'a': 0.6, 'e': 0.04911945944441081}",20,14,13.34953344515351,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
6028,False,"{'a': 0.6, 'e': 0.04909490585359783}",20,7,26.050021261511485,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
6029,False,"{'a': 0.6, 'e': 0.0490703645365116}",25,7,30.609786129867057,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
6030,False,"{'a': 0.6, 'e': 0.04904583548701673}",20,12,9.408101415062493,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
6031,False,"{'a': 0.6, 'e': 0.04902131869898101}",30,17,-27.30815638158365,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
6032,False,"{'a': 0.6, 'e': 0.0489968141662752}",35,26,15.807427544919403,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6033,False,"{'a': 0.6, 'e': 0.04897232188277319}",20,6,-26.118625178478965,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
6034,False,"{'a': 0.6, 'e': 0.048947841842351916}",25,2,36.64874217682294,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
6035,False,"{'a': 0.6, 'e': 0.04892337403889135}",25,10,29.897943285011884,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
6036,False,"{'a': 0.6, 'e': 0.04889891846627454}",20,16,6.969643279245918,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
6037,False,"{'a': 0.6, 'e': 0.04887447511838762}",20,12,16.2492156835841,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6038,False,"{'a': 0.6, 'e': 0.04885004398911972}",20,15,7.337227093225845,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
6039,False,"{'a': 0.6, 'e': 0.048825625072363085}",20,12,-17.695547203171586,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
